LKFN,Finance,Major Banks
CDNS,Technology,Computer Software: Prepackaged Software
FSNN,Technology,Computer Software: Prepackaged Software
CFNB,Finance,Major Banks
LIVE,Technology,EDP Services
PERY,Consumer Non-Durables,Apparel
GBCI,Finance,Major Banks
WEB,Technology,Computer Software: Prepackaged Software
FCAP,Finance,Savings Institutions
DRRX,Health Care,Major Pharmaceuticals
CXSE,n/a,n/a
SIGI,Finance,Property-Casualty Insurers
SIGM,Technology,Semiconductors
WEN,Consumer Services,Restaurants
PXLW,Technology,Semiconductors
PSDV,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CSPI,Technology,EDP Services
VMBS,n/a,n/a
FCAN,n/a,n/a
UBSI,Finance,Major Banks
ANAT,Finance,Life Insurance
PLCE,Consumer Services,Clothing/Shoe/Accessory Stores
UMBF,Finance,Major Banks
SSNT,Miscellaneous,Business Services
AMAG,Health Care,Major Pharmaceuticals
AEY,Consumer Services,Office Equipment/Supplies/Services
ZN,Energy,Oil & Gas Production
AMAT,Technology,Semiconductors
LMIA,Capital Goods,Military/Government/Technical
SWKS,Technology,Semiconductors
GPOR,Energy,Oil & Gas Production
WAFDW,Finance,Major Banks
CRDS,Technology,Computer peripheral equipment
OPOF,Finance,Major Banks
OPXA,Health Care,Major Pharmaceuticals
VTNR,Energy,Integrated oil Companies
TSBK,Finance,Banks
TILE,Consumer Durables,Home Furnishings
MEET,Consumer Services,Advertising
CTXS,Technology,Computer Software: Prepackaged Software
MGIC,Technology,Computer Software: Prepackaged Software
FFBC,Finance,Major Banks
AGNC,Consumer Services,Real Estate Investment Trusts
ZG,Miscellaneous,Business Services
NFEC,Capital Goods,Metal Fabrications
UMPQ,Finance,Savings Institutions
NSEC,Finance,Life Insurance
MSCC,Technology,Semiconductors
HALL,Finance,Property-Casualty Insurers
HALO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PSL,n/a,n/a
IMKTA,Consumer Services,Food Chains
ACNB,Finance,Major Banks
KFRC,Technology,Professional Services
INWK,Consumer Durables,Containers/Packaging
ASUR,Technology,EDP Services
RCON,Energy,Oilfield Services/Equipment
OGXI,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
GABC,Finance,Major Banks
VBFC,Finance,Major Banks
HRTX,Health Care,Major Pharmaceuticals
BSPM,Health Care,Major Pharmaceuticals
HNH,Capital Goods,Industrial Specialties
BABY,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ZIONW,Finance,Major Banks
FDEF,Finance,Savings Institutions
CRVL,Finance,Specialty Insurers
RVSB,Finance,Savings Institutions
TTWO,Technology,Computer Software: Prepackaged Software
TORM,Basic Industries,Major Chemicals
DLTR,Consumer Services,Department/Specialty Retail Stores
LLEX,Energy,Oil & Gas Production
VRA,Consumer Non-Durables,Apparel
RUSHA,Consumer Durables,Automotive Aftermarket
AAL,Transportation,Air Freight/Delivery Services
WERN,Transportation,Trucking Freight/Courier Services
ZGNX,Health Care,Major Pharmaceuticals
GALT,Health Care,Major Pharmaceuticals
ASRVP,Finance,Major Banks
CA,Technology,Computer Software: Prepackaged Software
CG,Finance,Investment Managers
VUZI,Technology,Radio And Television Broadcasting And Communications Equipment
GALE,Health Care,Major Pharmaceuticals
CY,Technology,Semiconductors
SORL,Capital Goods,Auto Parts:O.E.M.
QQQC,n/a,n/a
SSRI,Basic Industries,Precious Metals
HUBG,Transportation,Oil Refining/Marketing
RLJE,Consumer Services,Movies/Entertainment
UEIC,Consumer Non-Durables,Consumer Electronics/Appliances
ISHG,n/a,n/a
QQQX,n/a,n/a
FTAG,n/a,n/a
IFON,Consumer Non-Durables,Electronic Components
FHK,n/a,n/a
CVV,Technology,Industrial Machinery/Components
ZNGA,Technology,EDP Services
OCRX,Health Care,Major Pharmaceuticals
ADUS,Health Care,Medical/Nursing Services
GUID,Technology,Computer Software: Prepackaged Software
TUES,Consumer Services,Department/Specialty Retail Stores
SBGI,Consumer Services,Broadcasting
MRCY,Capital Goods,Electrical Products
RGSE,Basic Industries,Engineering & Construction
KONA,Consumer Services,Restaurants
TACT,Technology,Computer peripheral equipment
KONE,Technology,EDP Services
HPT,Consumer Services,Real Estate Investment Trusts
HPJ,Miscellaneous,Industrial Machinery/Components
OHRP,Health Care,Major Pharmaceuticals
QTEC,n/a,n/a
NTGR,Public Utilities,Telecommunications Equipment
RVEN,Consumer Services,Real Estate Investment Trusts
RBPAA,Finance,Major Banks
ARDM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LAMR,Consumer Services,Real Estate Investment Trusts
LMNR,Consumer Non-Durables,Farming/Seeds/Milling
WDC,Technology,Electronic Components
GRBK,Capital Goods,Homebuilding
GLNG,Consumer Services,Marine Transportation
LFUS,Consumer Durables,Electrical Products
GPRE,Basic Industries,Major Chemicals
SGOC,Technology,Radio And Television Broadcasting And Communications Equipment
CONN,Consumer Services,Consumer Electronics/Video Chains
TCBI,Finance,Major Banks
IROQ,Finance,Savings Institutions
GBNK,Finance,Major Banks
ALLT,Technology,Computer Communications Equipment
DGICA,Finance,Property-Casualty Insurers
DGICB,Finance,Property-Casualty Insurers
EEMA,n/a,n/a
BBBY,Consumer Services,Home Furnishings
NVAX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALBO,Health Care,Major Pharmaceuticals
HCOM,Consumer Services,Telecommunications Equipment
CLFD,Public Utilities,Telecommunications Equipment
PBYI,Health Care,Major Pharmaceuticals
STLD,Basic Industries,Steel/Iron Ore
SANM,Technology,Electrical Products
PBMD,Health Care,Major Pharmaceuticals
LECO,Technology,Industrial Machinery/Components
TIPT,Finance,Property-Casualty Insurers
CCNE,Finance,Major Banks
RAVN,Capital Goods,Specialty Chemicals
STLY,Consumer Durables,Home Furnishings
HCSG,Health Care,Hospital/Nursing Management
EWZS,n/a,n/a
DWCH,Technology,Computer Software: Prepackaged Software
AAON,Capital Goods,Industrial Machinery/Components
HA,Transportation,Air Freight/Delivery Services
GTXI,Health Care,Major Pharmaceuticals
CTIC,Health Care,Major Pharmaceuticals
PTH,n/a,n/a
PTF,n/a,n/a
WNEB,Finance,Savings Institutions
INVT,Public Utilities,Telecommunications Equipment
PTC,Technology,Computer Software: Prepackaged Software
KLIC,Technology,Semiconductors
TGTX,Health Care,Major Pharmaceuticals
SCZ,n/a,n/a
INVE,Technology,Computer peripheral equipment
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
INVA,Health Care,Major Pharmaceuticals
EGAN,Technology,Computer Software: Prepackaged Software
NEPT,Health Care,Major Pharmaceuticals
JAZZ,Health Care,Major Pharmaceuticals
IBCP,Finance,Major Banks
CAPR,Health Care,Major Pharmaceuticals
LVNTA,Consumer Services,Catalog/Specialty Distribution
LVNTB,Consumer Services,Catalog/Specialty Distribution
WINA,Consumer Services,Other Specialty Stores
YHOO,Technology,EDP Services
CHDN,Consumer Services,Services-Misc. Amusement & Recreation
MATW,Capital Goods,Metal Fabrications
MATR,Technology,EDP Services
VVUS,Health Care,Major Pharmaceuticals
PCMI,Consumer Services,Catalog/Specialty Distribution
SUNS,n/a,n/a
WOOD,n/a,n/a
BREW,Consumer Non-Durables,Beverages (Production/Distribution)
AXTI,Technology,Semiconductors
ACAD,Health Care,Major Pharmaceuticals
CGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ZEUS,Basic Industries,Metal Fabrications
UBNT,Technology,Radio And Television Broadcasting And Communications Equipment
PRMW,Consumer Non-Durables,Food Distributors
FDTS,n/a,n/a
JBLU,Transportation,Air Freight/Delivery Services
PFLT,n/a,n/a
HDSN,Consumer Durables,Industrial Specialties
ATTU,Technology,Computer Software: Prepackaged Software
AZPN,Technology,EDP Services
AVEO,Health Care,Major Pharmaceuticals
LPNT,Health Care,Hospital/Nursing Management
OBCI,Consumer Durables,Specialty Chemicals
GGAL,Finance,Commercial Banks
SQQQ,n/a,n/a
EMIF,n/a,n/a
ISIG,Consumer Services,Advertising
HBCP,Finance,Banks
NBN,Finance,Major Banks
CORE,Consumer Non-Durables,Food Distributors
ADP,Technology,EDP Services
XELB,Miscellaneous,Multi-Sector Companies
HWCC,Consumer Non-Durables,Telecommunications Equipment
CORT,Health Care,Major Pharmaceuticals
SLAB,Technology,Semiconductors
ADI,Technology,Semiconductors
REGN,Health Care,Major Pharmaceuticals
RIGL,Health Care,Major Pharmaceuticals
PTIE,Health Care,Major Pharmaceuticals
NSSC,Consumer Durables,Telecommunications Equipment
WAYN,Finance,Savings Institutions
DJCO,Consumer Services,Newspapers/Magazines
SSKN,Health Care,Medical/Dental Instruments
SCKT,Technology,Computer Manufacturing
KOOL,Capital Goods,Medical Specialities
GNMX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
REGI,Basic Industries,Major Chemicals
TCRD,n/a,n/a
GNMA,n/a,n/a
DISH,Consumer Services,Television Services
GNMK,Health Care,Medical/Dental Instruments
EBSB,Finance,Major Banks
VICR,Capital Goods,Industrial Machinery/Components
WIRE,Capital Goods,Metal Fabrications
CTIB,Basic Industries,Specialty Chemicals
SOXX,n/a,n/a
ALSK,Public Utilities,Telecommunications Equipment
JTPY,Finance,Business Services
ARKR,Consumer Services,Restaurants
SHOR,Public Utilities,Telecommunications Equipment
SHOS,Consumer Services,Department/Specialty Retail Stores
CIDM,Consumer Services,Consumer Electronics/Video Chains
MLHR,Consumer Durables,Office Equipment/Supplies/Services
GOGL,Consumer Services,Marine Transportation
TROW,Finance,Investment Bankers/Brokers/Service
TROV,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SHOO,Consumer Non-Durables,Shoe Manufacturing
FBMS,Finance,Major Banks
IPXL,Health Care,Major Pharmaceuticals
DSPG,Technology,Semiconductors
PFBC,n/a,n/a
KELYB,Technology,Professional Services
PFBI,Finance,Major Banks
KELYA,Technology,Professional Services
CECE,Capital Goods,Pollution Control Equipment
PFBX,Finance,Major Banks
CECO,Consumer Services,Other Consumer Services
NDSN,Capital Goods,Industrial Machinery/Components
ICLN,n/a,n/a
UBCP,Finance,Major Banks
EXLS,Miscellaneous,Business Services
IDXX,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AEHR,Capital Goods,Electrical Products
ICLR,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ROIC,Consumer Services,Real Estate Investment Trusts
STKL,Consumer Services,Farming/Seeds/Milling
SRSC,Consumer Services,Department/Specialty Retail Stores
ARTNA,Public Utilities,Water Supply
CCOI,Consumer Services,Telecommunications Equipment
ADTN,Public Utilities,Telecommunications Equipment
PTX,Health Care,Major Pharmaceuticals
PBBI,Finance,Savings Institutions
ONEQ,n/a,n/a
CLWT,Consumer Durables,Diversified Electronic Products
FULT,Finance,Major Banks
PBHC,Finance,Major Banks
SBFG,Finance,Major Banks
PSTB,Finance,Major Banks
WILN,Miscellaneous,Multi-Sector Companies
QQQ,n/a,n/a
TNXP,Health Care,Major Pharmaceuticals
PSTI,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ODFL,Transportation,Trucking Freight/Courier Services
WILC,Consumer Non-Durables,Food Distributors
ENZL,n/a,n/a
EGBN,Finance,Major Banks
DAIO,Capital Goods,Electrical Products
CME,Finance,Investment Bankers/Brokers/Service
CHKP,Technology,Computer Software: Prepackaged Software
PCH,Consumer Services,Real Estate Investment Trusts
PCO,Miscellaneous,Multi-Sector Companies
IOSP,Basic Industries,Major Chemicals
CHKE,Consumer Non-Durables,Apparel
VCEL,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESIO,Miscellaneous,Industrial Machinery/Components
SREV,Miscellaneous,Business Services
VONV,n/a,n/a
SGRP,Miscellaneous,Business Services
FEIM,Capital Goods,Electrical Products
FLWS,Consumer Services,Other Specialty Stores
SNBC,Finance,Commercial Banks
FNGN,Finance,Investment Managers
PCLN,Miscellaneous,Business Services
ORIT,Finance,Major Banks
CENTA,Consumer Durables,Consumer Specialties
FSLR,Technology,Semiconductors
MTEX,Consumer Durables,Specialty Chemicals
DIOD,Technology,Semiconductors
FLAT,Finance,Commercial Banks
GRMN,Capital Goods,Industrial Machinery/Components
SCMP,Health Care,Major Pharmaceuticals
MRIC,n/a,n/a
CUNB,Finance,Major Banks
PNQI,n/a,n/a
JAKK,Consumer Non-Durables,Recreational Products/Toys
SNHNI,Consumer Services,Real Estate Investment Trusts
PEBK,Finance,Major Banks
PEBO,Finance,Major Banks
CHUY,Consumer Services,Restaurants
SGLB,Consumer Durables,Miscellaneous manufacturing industries
ALOG,Capital Goods,Electrical Products
QNST,Miscellaneous,Business Services
MU,Technology,Semiconductors
INO,Health Care,Medical/Dental Instruments
NDAQ,Finance,Investment Bankers/Brokers/Service
ALOT,Technology,Computer peripheral equipment
SPLK,Technology,Computer Software: Prepackaged Software
HWBK,Finance,Major Banks
FSBC,Finance,Savings Institutions
EPAY,Technology,Computer Software: Prepackaged Software
LMOS,Public Utilities,Telecommunications Equipment
FSBK,Finance,Major Banks
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FSBW,Finance,Banks
DOX,Technology,EDP Services
COST,Consumer Services,Department/Specialty Retail Stores
HURN,Consumer Services,Professional Services
EBIX,Technology,EDP Services
HURC,Capital Goods,Industrial Machinery/Components
SRDX,Health Care,Medical/Dental Instruments
EDUC,Consumer Durables,Consumer Specialties
ORIG,Energy,Oil & Gas Production
CNMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MSON,Capital Goods,Medical Specialities
POWL,Consumer Durables,Electrical Products
SCHN,Consumer Durables,Industrial Specialties
BSF,Finance,Major Banks
GIFI,Capital Goods,Metal Fabrications
CTHR,Consumer Durables,Consumer Specialties
MNOV,Health Care,Major Pharmaceuticals
KNDI,Capital Goods,Auto Manufacturing
CBPO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MPB,Finance,Major Banks
RCMT,Technology,Professional Services
GNCMA,Public Utilities,Telecommunications Equipment
MGYR,Finance,Savings Institutions
QUIK,Technology,Semiconductors
CTSH,Technology,EDP Services
FFNW,Finance,Major Banks
FMBI,Finance,Major Banks
FMBH,Finance,Major Banks
OMNT,Miscellaneous,Business Services
IRBT,Consumer Durables,Consumer Electronics/Appliances
CAMT,Capital Goods,Electronic Components
BJRI,Consumer Services,Restaurants
SIFY,Technology,"Computer Software: Programming, Data Processing"
FBNK,Finance,Banks
CELG,Health Care,Major Pharmaceuticals
RXII,Health Care,Major Pharmaceuticals
NEOG,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
STB,Transportation,Other Transportation
NEON,Capital Goods,Industrial Machinery/Components
WLFC,Consumer Durables,Industrial Specialties
FDUS,n/a,n/a
AGNCP,Consumer Services,Real Estate Investment Trusts
HYGS,Basic Industries,Major Chemicals
STX,Technology,Electronic Components
PFMT,Consumer Services,Other Consumer Services
EDGW,Technology,"Computer Software: Programming, Data Processing"
CERN,Technology,EDP Services
TCCO,Technology,Radio And Television Broadcasting And Communications Equipment
TRMB,Capital Goods,Industrial Machinery/Components
CERS,Health Care,Medical/Dental Instruments
AVDL,Health Care,Major Pharmaceuticals
IEUS,n/a,n/a
GENE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NAII,Consumer Durables,Specialty Chemicals
LLIT,Health Care,Medical/Dental Instruments
SPTN,Consumer Non-Durables,Food Distributors
PBIP,Finance,Banks
MICT,Capital Goods,Electrical Products
FNX,n/a,n/a
PDEX,Health Care,Medical/Dental Instruments
PBIB,Finance,Major Banks
CLVS,Health Care,Major Pharmaceuticals
DLHC,Technology,Professional Services
RP,Technology,Computer Software: Prepackaged Software
ADMP,Health Care,Major Pharmaceuticals
MLVF,Finance,Banks
GERN,Health Care,Major Pharmaceuticals
TDIV,n/a,n/a
MOFG,Finance,Major Banks
UNAM,Finance,Property-Casualty Insurers
ATAI,Consumer Services,Other Consumer Services
HBNC,Finance,Major Banks
HLIT,Technology,Radio And Television Broadcasting And Communications Equipment
ATAX,Finance,Finance: Consumer Services
MFSF,Finance,Major Banks
BASI,Health Care,Biotechnology: Commercial Physical & Biological Resarch
HNNA,Finance,Investment Managers
LGCY,Energy,Oil & Gas Production
NTES,Miscellaneous,Business Services
LAKE,Health Care,Industrial Specialties
IVAC,Technology,Industrial Machinery/Components
OFLX,Capital Goods,Industrial Specialties
WFM,Consumer Services,Food Chains
FCFS,Consumer Services,Other Specialty Stores
FCFP,Finance,Major Banks
HZNP,Health Care,Major Pharmaceuticals
BMRN,Health Care,Major Pharmaceuticals
ABEO,Health Care,Major Pharmaceuticals
BMRA,Health Care,Medical/Dental Instruments
BMRC,Finance,Major Banks
SGMA,Technology,Electrical Products
CELGZ,Health Care,Major Pharmaceuticals
RTK,Basic Industries,Agricultural Chemicals
SEIC,Finance,Investment Bankers/Brokers/Service
SGMS,Technology,EDP Services
HCCI,Basic Industries,Miscellaneous
TPIV,Health Care,Major Pharmaceuticals
DISCA,Consumer Services,Television Services
DISCB,Consumer Services,Television Services
EVOL,Technology,EDP Services
AEIS,Capital Goods,Industrial Machinery/Components
ENG,Consumer Services,Military/Government/Technical
DISCK,Consumer Services,Television Services
ENT,Consumer Services,Telecommunications Equipment
SHLD,Consumer Services,Department/Specialty Retail Stores
FBRC,Finance,Investment Bankers/Brokers/Service
CCLP,Energy,Oilfield Services/Equipment
OCFC,Finance,Savings Institutions
CZR,Consumer Services,Hotels/Resorts
LXRX,Health Care,Major Pharmaceuticals
NVCN,Health Care,Medical/Dental Instruments
SMRT,Consumer Services,Clothing/Shoe/Accessory Stores
CLDX,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AGII,Finance,Specialty Insurers
CVGI,Capital Goods,Auto Parts:O.E.M.
GRIF,Finance,Real Estate
UREE,n/a,n/a
PCOM,Miscellaneous,Business Services
MCBC,Finance,Major Banks
UBFO,Finance,Major Banks
PLXS,Technology,Electrical Products
ISM,Finance,Finance: Consumer Services
TNAV,Capital Goods,Industrial Machinery/Components
ELON,Technology,Computer Communications Equipment
CBSH,Finance,Major Banks
MERC,Basic Industries,Paper
CVGW,Consumer Non-Durables,Farming/Seeds/Milling
AAME,Finance,Life Insurance
PRN,n/a,n/a
ENOC,Technology,"Computer Software: Programming, Data Processing"
SASR,Finance,Major Banks
PODD,Health Care,Medical/Dental Instruments
JKI,n/a,n/a
TTEK,Consumer Services,Military/Government/Technical
TVIX,Finance,Investment Bankers/Brokers/Service
TVIZ,Finance,Investment Bankers/Brokers/Service
SOHO,Consumer Services,Real Estate Investment Trusts
DTUS,Finance,Commercial Banks
IMI,Technology,Semiconductors
CJJD,Consumer Durables,Specialty Chemicals
CARV,Finance,Savings Institutions
CART,Finance,Major Banks
PDP,n/a,n/a
FRP,Public Utilities,Telecommunications Equipment
HMST,Finance,Major Banks
CARB,Technology,EDP Services
HMSY,Miscellaneous,Business Services
MRVC,Technology,Semiconductors
DTUL,Finance,Commercial Banks
INFN,Public Utilities,Telecommunications Equipment
SNMX,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INFI,Health Care,Major Pharmaceuticals
COBZ,Finance,Major Banks
ASFI,Finance,Finance Companies
LWAY,Consumer Non-Durables,Packaged Foods
LBTYA,Consumer Services,Television Services
LBTYB,Consumer Services,Television Services
PRTS,Consumer Services,Other Specialty Stores
SRNE,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AUBN,Finance,Major Banks
MGLN,Health Care,Hospital/Nursing Management
LBTYK,Consumer Services,Television Services
PRKR,Technology,Radio And Television Broadcasting And Communications Equipment
EUFN,n/a,n/a
DXLG,Consumer Services,Clothing/Shoe/Accessory Stores
SAEX,Energy,Oil & Gas Production
CRIS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BOTJ,Finance,Major Banks
NANO,Capital Goods,Industrial Machinery/Components
HBAN,Finance,Major Banks
GEOS,Capital Goods,Industrial Machinery/Components
KBAL,Consumer Durables,Home Furnishings
TCBK,Finance,Major Banks
ATVI,Technology,Computer Software: Prepackaged Software
